;Sample_name;Time;Compartment;Water_type;Sample_type;Mesocosm;Group;Sampling_date;NA_concentration;Final_NA_conc
Mesocosm.1.D0.Sed;Mesocosm.1.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;14-07-2021;1.1;51.6
Mesocosm.1.D28.Sed;Mesocosm.1.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;18-08-2021;45.3;51.6
Mesocosm.1.D42.Sed;Mesocosm.1.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;01-09-2021;64.9;51.6
Mesocosm.1.D8.Sed;Mesocosm.1.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;29-07-2021;NA;51.6
Mesocosm.1.D84.Sed;Mesocosm.1.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;13-10-2021;51.6;51.6
Mesocosm.10.D0.Sed;Mesocosm.10.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;14-07-2021;1;65.4
Mesocosm.10.D28.Sed;Mesocosm.10.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;18-08-2021;70.4;65.4
Mesocosm.10.D42.Sed;Mesocosm.10.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;01-09-2021;62.1;65.4
Mesocosm.10.D8.Sed;Mesocosm.10.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;29-07-2021;87.8;65.4
Mesocosm.10.D84.Sed;Mesocosm.10.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;13-10-2021;65.4;65.4
