#FEATURE_ID	MI.M05812_0379.001.FLD_ill_100_i7---IDT_i5_5.Mesocosm-1-Aug-18-2021	MI.M05812_0379.001.FLD_ill_101_i7---IDT_i5_5.Mesocosm-1-Sep-1-2021	MI.M05812_0379.001.FLD_ill_108_i7---IDT_i5_6.Mesocosm-2-Aug-18-2021	MI.M05812_0379.001.FLD_ill_109_i7---IDT_i5_6.Mesocosm-2-Sep-1-2021	MI.M05812_0379.001.FLD_ill_116_i7---IDT_i5_7.Mesocosm-3-Aug-18-2021	MI.M05812_0379.001.FLD_ill_117_i7---IDT_i5_7.Mesocosm-3-Sep-1-2021	MI.M05812_0379.001.FLD_ill_124_i7---IDT_i5_8.Mesocosm-4-Aug-18-2021	MI.M05812_0379.001.FLD_ill_125_i7---IDT_i5_8.Mesocosm-4-Sep-1-2021	MI.M05812_0379.001.FLD_ill_132_i7---IDT_i5_9.Mesocosm-5-Aug-18-2021	MI.M05812_0379.001.FLD_ill_133_i7---IDT_i5_9.Mesocosm-5-Sep-1-2021	MI.M05812_0379.001.FLD_ill_140_i7---IDT_i5_10.Mesocosm-6-Aug-18-2021	MI.M05812_0379.001.FLD_ill_141_i7---IDT_i5_10.Mesocosm-6-Sep-1-2021	MI.M05812_0379.001.FLD_ill_148_i7---IDT_i5_11.Mesocosm-7-Aug-18-2021	MI.M05812_0379.001.FLD_ill_149_i7---IDT_i5_11.Mesocosm-7-Sep-1-2021	MI.M05812_0379.001.FLD_ill_156_i7---IDT_i5_12.Mesocosm-8-Aug-18-2021	MI.M05812_0379.001.FLD_ill_157_i7---IDT_i5_12.Mesocosm-8-Sep-1-2021	MI.M05812_0379.001.FLD_ill_164_i7---IDT_i5_1.Mesocosm-9-Aug-18-2021	MI.M05812_0379.001.FLD_ill_165_i7---IDT_i5_1.Mesocosm-9-Sep-1-2021	MI.M05812_0379.001.FLD_ill_172_i7---IDT_i5_2.Mesocosm-10-Aug-18-2021	MI.M05812_0379.001.FLD_ill_173_i7---IDT_i5_2.Mesocosm-10-Sep-1-2021	MI.M05812_0379.001.FLD_ill_180_i7---IDT_i5_3.Mesocosm-11-Aug-18-2021	MI.M05812_0379.001.FLD_ill_181_i7---IDT_i5_3.Mesocosm-11-Sep-1-2021	MI.M05812_0379.001.FLD_ill_188_i7---IDT_i5_4.Mesocosm-12-Aug-18-2021	MI.M05812_0379.001.FLD_ill_189_i7---IDT_i5_4.Mesocosm-12-Sep-1-2021	MI.M05812_0392.001.FLD_ill_001_i7---IDT_i5_6.M1-13-07-21	MI.M05812_0392.001.FLD_ill_002_i7---IDT_i5_6.M1-30-07-21	MI.M05812_0392.001.FLD_ill_003_i7---IDT_i5_6.M1-13-10-21	MI.M05812_0392.001.FLD_ill_009_i7---IDT_i5_7.M2-13-07-21	MI.M05812_0392.001.FLD_ill_010_i7---IDT_i5_7.M2-30-07-21	MI.M05812_0392.001.FLD_ill_011_i7---IDT_i5_7.M2-13-10-21	MI.M05812_0392.001.FLD_ill_017_i7---IDT_i5_8.M3-13-07-21	MI.M05812_0392.001.FLD_ill_018_i7---IDT_i5_8.M3-30-07-21	MI.M05812_0392.001.FLD_ill_019_i7---IDT_i5_8.M3-13-10-21	MI.M05812_0392.001.FLD_ill_025_i7---IDT_i5_9.M4-13-07-21	MI.M05812_0392.001.FLD_ill_026_i7---IDT_i5_9.M4-30-07-21	MI.M05812_0392.001.FLD_ill_027_i7---IDT_i5_9.M4-13-10-21	MI.M05812_0392.001.FLD_ill_033_i7---IDT_i5_10.M5-13-07-21	MI.M05812_0392.001.FLD_ill_034_i7---IDT_i5_10.M5-30-07-21	MI.M05812_0392.001.FLD_ill_035_i7---IDT_i5_10.M5-13-10-21	MI.M05812_0392.001.FLD_ill_041_i7---IDT_i5_11.M6-13-07-21	MI.M05812_0392.001.FLD_ill_042_i7---IDT_i5_11.M6-30-07-21	MI.M05812_0392.001.FLD_ill_043_i7---IDT_i5_11.M6-13-10-21	MI.M05812_0392.001.FLD_ill_049_i7---IDT_i5_12.M7-13-07-21	MI.M05812_0392.001.FLD_ill_050_i7---IDT_i5_12.M7-30-07-21	MI.M05812_0392.001.FLD_ill_051_i7---IDT_i5_12.M7-13-10-21	MI.M05812_0392.001.FLD_ill_057_i7---IDT_i5_1.M8-13-07-21	MI.M05812_0392.001.FLD_ill_058_i7---IDT_i5_1.M8-30-07-21	MI.M05812_0392.001.FLD_ill_059_i7---IDT_i5_1.M8-13-10-21	MI.M05812_0392.001.FLD_ill_065_i7---IDT_i5_2.M9-13-07-21	MI.M05812_0392.001.FLD_ill_066_i7---IDT_i5_2.M9-30-07-21	MI.M05812_0392.001.FLD_ill_067_i7---IDT_i5_2.M9-13-10-21	MI.M05812_0392.001.FLD_ill_074_i7---IDT_i5_3.M10-30-07-21	MI.M05812_0392.001.FLD_ill_075_i7---IDT_i5_3.M10-13-10-21	MI.M05812_0392.001.FLD_ill_081_i7---IDT_i5_4.M11-13-07-21	MI.M05812_0392.001.FLD_ill_082_i7---IDT_i5_4.M11-30-07-21	MI.M05812_0392.001.FLD_ill_083_i7---IDT_i5_4.M11-13-10-21	MI.M05812_0392.001.FLD_ill_089_i7---IDT_i5_5.M12-13-07-21	MI.M05812_0392.001.FLD_ill_091_i7---IDT_i5_5.M12-13-10-21	taxonomy
1	648	5516	391	1253	48	1442	212	1213	238	4396	34	43	0	0	45	640	543	3308	280	2076	39	876	22	64	0	0	6624	0	0	26	0	0	8809	0	0	11999	0	0	6510	0	0	57	0	0	59	0	0	13071	0	0	2011	0	14830	0	0	13727	0	158	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium PCC-6307;
2	253	710	260	219	67	0	40	76	271	87	73	102	0	0	3926	412	0	70	0	30	161	179	125	30	1727	1286	217	4569	443	393	40	268	1549	2626	8133	109	1306	3920	1913	2895	73	184	6808	78	348	2625	13435	294	1756	170	819	193	3375	2576	5786	3089	2067	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;
3	249	38	288	88	80	0	0	0	30	0	1069	956	2011	0	0	0	71	0	488	0	0	0	399	54	5018	3286	0	74	6071	20	0	5289	0	153	169	0	18940	2004	0	0	4460	0	121	3889	0	25	45	0	2117	5755	0	5678	0	108	141	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;
4	890	192	488	234	3451	23	743	241	520	499	1007	721	689	828	3927	1644	1724	448	2201	177	235	602	2931	541	8	4530	583	0	1566	124	0	7683	72	0	84	234	0	34	0	23	6171	422	6	5841	247	4	25	83	0	5253	215	4875	697	7	28	551	59	57	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__ChloroplastOR;g__ChloroplastOR;
5	5690	3926	3084	1791	1360	1992	1515	4438	1148	1685	1653	1046	1836	79	267	469	8143	2452	3467	1340	40	468	3330	2058	0	174	364	0	330	25	0	67	0	0	10	119	0	9	0	0	82	375	0	78	0	0	0	147	0	77	137	80	90	0	0	57	0	208	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium PCC-6307;
6	451	708	705	1033	470	1147	328	1478	454	591	326	1054	1309	2385	1398	890	758	615	284	962	1097	3797	1862	4026	0	617	0	0	1152	130	0	788	142	31	136	457	9	146	208	0	1309	1906	69	1254	0	106	543	57	395	632	317	1153	391	19	695	389	255	891	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales Incertae Sedis;g__Rhizobiales Incertae SedisFA;
7	294	128	240	224	68	4069	510	31	369	892	319	6057	911	585	791	26	2635	785	2596	3435	1733	88	191	72	0	144	0	0	265	1075	0	118	0	0	4691	0	0	253	0	0	0	63	0	0	316	0	0	0	0	197	0	597	0	0	44	0	0	998	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans;
8	54	0	296	203	0	19	120	0	42	61	22	28	164	0	1188	0	0	0	0	0	1979	464	20	22	0	0	0	229	38	0	18	25	0	1007	3711	0	0	201	0	96	16	0	853	0	0	6080	2603	0	0	0	0	17	0	11323	2856	0	213	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;
9	0	0	32	0	0	52	0	0	0	0	293	117	786	0	17	104	0	33	0	0	0	0	123	63	4897	346	0	75	831	0	0	774	0	11282	140	10	462	112	0	10	588	0	635	589	0	0	0	0	9410	522	28	436	0	624	149	0	30	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;
10	1633	397	63	48	330	567	1718	73	795	238	1649	312	4424	698	212	0	1437	2552	2143	767	426	41	1440	385	0	7	0	0	0	0	0	138	0	0	10	0	0	3	4	0	258	389	0	202	3	0	0	0	0	187	6	302	0	0	15	0	0	189	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__SporichthyaceaeFA;
11	38	0	0	0	0	0	0	0	57	0	0	120	54	70	27	0	0	0	0	34	0	0	0	56	208	0	62	0	0	818	0	0	57	2610	591	140	2846	2414	93	210	0	4234	25	0	0	2707	108	71	970	0	190	0	0	0	0	0	5114	46	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Caenimonas;
12	34	32	46	0	0	116	229	14	41	121	30	48	0	55	691	155	117	98	38	51	402	528	0	0	413	192	0	2890	427	0	0	0	0	728	2221	28	218	2002	0	1998	24	0	775	8	0	1982	2661	61	350	0	20	19	90	705	1497	79	961	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__alphaI cluster;
13	68	916	0	0	1417	34	0	1043	408	1288	0	32	0	0	0	1558	2062	949	4265	4020	99	711	0	18	0	0	26	0	0	13	0	0	0	0	0	759	0	0	129	0	0	236	0	0	35	0	0	455	0	0	92	0	136	0	0	96	0	394	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Candidatus Aquirestis;
