#SampleID	alias	Compartment	Mesocosm	Sample_type	Water_type	Time	Sampling_date	Seq_data
MI.M05812_0392.001.FLD_ill_096_i7---IDT_i5_5.BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	20-03-2023
MI.M05812_0379.001.FLD_ill_192_i7---IDT_i5_6.BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	16-12-2022
MI.M05812_0392.001.FLD_ill_001_i7---IDT_i5_6.M1-13-07-21	M1-13.07.21	Water	Mesocosm_1	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_009_i7---IDT_i5_7.M2-13-07-21	M2-13.07.21	Water	Mesocosm_2	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_017_i7---IDT_i5_8.M3-13-07-21	M3-13.07.21	Water	Mesocosm_3	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_025_i7---IDT_i5_9.M4-13-07-21	M4-13.07.21	Water	Mesocosm_4	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_033_i7---IDT_i5_10.M5-13-07-21	M5-13.07.21	Water	Mesocosm_5	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_041_i7---IDT_i5_11.M6-13-07-21	M6-13.07.21	Water	Mesocosm_6	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_049_i7---IDT_i5_12.M7-13-07-21	M7-13.07.21	Water	Mesocosm_7	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_057_i7---IDT_i5_1.M8-13-07-21	M8-13.07.21	Water	Mesocosm_8	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_065_i7---IDT_i5_2.M9-13-07-21	M9-13.07.21	Water	Mesocosm_9	No_plant	OSPW	D-0	13-07-2021	20-03-2023
