#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
1-Mesocosm-1-1-Exp1-D-0-Sed;1-Mesocosm-1-1-Exp1-D-0-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D-0;14-07-2021;1.1
2-Mesocosm-1-2-Exp1-D-0-Sed;2-Mesocosm-1-2-Exp1-D-0-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D-0;14-07-2021;1.1
49-Mesocosm-1-1-Exp1-D28-Sed;49-Mesocosm-1-1-Exp1-D28-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D28;18-08-2021;45.3
50-Mesocosm-1-2-Exp1-D28-Sed;50-Mesocosm-1-2-Exp1-D28-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D28;18-08-2021;45.3
73-Mesocosm-1-1-Exp1-D42-Sed;73-Mesocosm-1-1-Exp1-D42-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D42;01-09-2021;64.9
74-Mesocosm-1-2-Exp1-D42-Sed;74-Mesocosm-1-2-Exp1-D42-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D42;01-09-2021;64.9
25-Mesocosm-1-1-Exp1-D8-Sed;25-Mesocosm-1-1-Exp1-D8-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D8;29-07-2021;
26-Mesocosm-1-2-Exp1-D8-Sed;26-Mesocosm-1-2-Exp1-D8-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D8;29-07-2021;
97-Mesocosm-1-1-Exp1-TEST-Sed;97-Mesocosm-1-1-Exp1-TEST-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D84;13-10-2021;51.6
98-Mesocosm-1-2-Exp1-TEST-Sed;98-Mesocosm-1-2-Exp1-TEST-Sed;Sediments;Mesocosm_1;No_plant;OSPW;D84;13-10-2021;51.6
19-Mesocosm-10-1-Exp1-D-0-Sed;19-Mesocosm-10-1-Exp1-D-0-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D-0;14-07-2021;1
20-Mesocosm-10-2-Exp1-D-0-Sed;20-Mesocosm-10-2-Exp1-D-0-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D-0;14-07-2021;1
67-Mesocosm-10-1-Exp1-D28-Sed;67-Mesocosm-10-1-Exp1-D28-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D28;18-08-2021;70.4
68-Mesocosm-10-2-Exp1-D28-Sed;68-Mesocosm-10-2-Exp1-D28-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D28;18-08-2021;70.4
91-Mesocosm-10-1-Exp1-D42-Sed;91-Mesocosm-10-1-Exp1-D42-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D42;01-09-2021;62.1
92-Mesocosm-10-2-Exp1-D42-Sed;92-Mesocosm-10-2-Exp1-D42-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D42;01-09-2021;62.1
43-Mesocosm-10-1-Exp1-D8-Sed;43-Mesocosm-10-1-Exp1-D8-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D8;29-07-2021;87.8
44-Mesocosm-10-2-Exp1-D8-Sed;44-Mesocosm-10-2-Exp1-D8-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D8;29-07-2021;87.8
115-Mesocosm-10-1-Exp1-TEST-Sed;115-Mesocosm-10-1-Exp1-TEST-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D84;13-10-2021;65.4
116-Mesococm-10-2-Exp1-TEST-Sed;116-Mesococm-10-2-Exp1-TEST-Sed;Sediments;Mesocosm_10;No_plant;OSPW;D84;13-10-2021;65.4
21-Mesocosm-11-1-Exp1-D-0-Sed;21-Mesocosm-11-1-Exp1-D-0-Sed;Sediments;Mesocosm_11;No_plant;Artificial_OSPW;D-0;14-07-2021;1.1
22-Mesocosm-11-2-Exp1-D-0-Sed;22-Mesocosm-11-2-Exp1-D-0-Sed;Sediments;Mesocosm_11;No_plant;Artificial_OSPW;D-0;14-07-2021;1.1
69-Mesocosm-11-1-Exp1-D28-Sed;69-Mesocosm-11-1-Exp1-D28-Sed;Sediments;Mesocosm_11;No_plant;Artificial_OSPW;D28;18-08-2021;0.4
70-Mesocosm-11-2-Exp1-D28-Sed;70-Mesocosm-11-2-Exp1-D28-Sed;Sediments;Mesocosm_11;No_plant;Artificial_OSPW;D28;18-08-2021;0.4
